t,f_x,f_y,f_z,d_c,v_max,pos_x,pos_y,pos_z,oriq_x,oriq_y,oriq_z,oriq_w,vel_x,vel_y,vel_z
0,0.0346819,0.0233448,43.6228,0.000785637,0.268681,-0.24336,0.00154243,-0.318367,0,0.0501581,0,0.998741,0.0150341,-0.000900432,-0.000489931
0.001998,0.121643,-0.0906036,44.1848,0.00275553,0.230045,-0.243333,0.00154243,-0.318369,0,0.0503584,0,0.998731,0.0136,0,-0.00149443
0.003996,0.339587,0.080936,44.3792,0.00769253,0.228258,-0.243306,0.00154243,-0.318372,0,0.0505588,0,0.998721,0.0136,0,-0.00130296
0.005994,0.907692,-0.0320743,44.2647,0.0205616,0.246124,-0.243279,0.00154243,-0.318374,0,0.0507591,0,0.998711,0.0136,0,-0.000807273
0.007992,1.20225,0.0453132,44.3676,0.0272341,0.195745,-0.243251,0.00154243,-0.318375,0,0.0509594,0,0.998701,0.0136,0,-0.000560666
0.00999,1.3255,0.200603,44.1764,0.0300261,0.205485,-0.243224,0.00154243,-0.318377,0,0.0511598,0,0.998691,0.0136,0,-0.000787563
0.011988,1.36172,0.148128,44.3886,0.0308465,0.21725,-0.243197,0.00154243,-0.318378,0,0.0513601,0,0.99868,0.0136,0,-3.26326e-05
0.013986,1.63388,0.0906588,43.9032,0.0370117,0.227171,-0.24317,0.00154243,-0.318377,0,0.0515604,0,0.99867,0.0136,0,0.00103863
0.015984,1.51551,-0.235416,44.4626,0.0343303,0.234695,-0.243143,0.00154243,-0.318374,0,0.0517607,0,0.998659,0.0136,0,0.00167485
0.017982,1.34382,-0.259172,43.5627,0.0304411,0.199585,-0.243116,0.00154243,-0.318371,0,0.051961,0,0.998649,0.0136,0,0.000934991
0.01998,1.21715,-0.346286,43.9976,0.0275716,0.202402,-0.243088,0.00154243,-0.31837,0,0.0521613,0,0.998639,0.0136,0,0.000529695
0.021978,0.943814,-0.422131,44.3905,0.0213799,0.22463,-0.243061,0.00154243,-0.31837,0,0.0523616,0,0.998628,0.0136,0,-0.00101799
0.023976,1.02515,-0.456331,43.8542,0.0232223,0.246587,-0.243034,0.00154243,-0.318371,0,0.0525619,0,0.998618,0.0136,0,-0.000455166
0.025974,0.943142,-0.288824,43.784,0.0213646,0.267171,-0.243007,0.00154243,-0.318372,0,0.0527623,0,0.998607,0.0136,0,-0.000278286
0.027972,0.9261,-0.295643,44.1545,0.0209786,0.229396,-0.24298,0.00154243,-0.318373,0,0.0529626,0,0.998597,0.0136,0,-0.000802681
0.02997,0.776219,-0.281626,44.3041,0.0175834,0.237935,-0.242953,0.00154243,-0.318376,0,0.0531629,0,0.998586,0.0136,0,-0.00245822
0.031968,0.543969,-0.525478,44.0771,0.0123223,0.188417,-0.242925,0.00154243,-0.31838,0,0.0533631,0,0.998575,0.0136,0,-0.00174374
0.033966,0.272074,-0.846172,44.4759,0.0061632,0.198944,-0.242898,0.00154243,-0.318385,0,0.0535634,0,0.998564,0.0136,0,-0.00262708
0.035964,0.1853,-0.792949,43.9038,0.00419754,0.189881,-0.242871,0.00154243,-0.31839,0,0.0537637,0,0.998554,0.0136,0,-0.00253103
0.037962,0.457236,-0.817932,44.6573,0.0103576,0.180059,-0.242844,0.00154243,-0.318396,0,0.053964,0,0.998543,0.0136,0,-0.00225251
0.03996,0.764313,-0.83484,43.7498,0.0173137,0.180494,-0.242817,0.00154243,-0.318399,0,0.0541643,0,0.998532,0.0136,0,-0.00243309
0.041958,1.45479,-0.789355,44.1849,0.0329548,0.195492,-0.24279,0.00154243,-0.318406,0,0.0543646,0,0.998521,0.0136,0,-0.00368179
0.043956,1.74309,-0.95334,44.4974,0.0394855,0.254915,-0.242762,0.00154243,-0.318414,0,0.0545649,0,0.99851,0.0136,0,-0.00448433
