t,f_x,f_y,f_z,d_c,v_max,pos_x,pos_y,pos_z,oriq_x,oriq_y,oriq_z,oriq_w,vel_x,vel_y,vel_z
0,0.0328502,-0.0146367,43.9029,0.000744142,0.0902112,-0.23805,0.00237229,-0.311238,0,0.0501581,0,0.998741,0.0205545,0.000651617,0.00144216
0.001998,1.44252,-0.0186898,44.2105,0.0326768,0.10823,-0.23802,0.00237229,-0.311235,0,0.0503584,0,0.998731,0.0147,0,0.00110482
0.003996,2.3257,-0.0630347,44.2422,0.0526832,0.0828783,-0.237991,0.00237229,-0.311233,0,0.0505588,0,0.998721,0.0147,0,0.00128959
0.005994,2.98897,0.0302052,44.1501,0.067708,0.0877139,-0.237962,0.00237229,-0.31123,0,0.0507591,0,0.998711,0.0147,0,0.00106166
0.007992,3.6509,0.128861,44.3181,0.0827025,0.0826028,-0.237932,0.00237229,-0.311228,0,0.0509594,0,0.998701,0.0147,0,0.00116266
0.00999,4.03454,0.139042,44.1554,0.0913929,0.0762508,-0.237903,0.00237229,-0.311226,0,0.0511598,0,0.998691,0.0147,0,0.00110501
0.011988,4.45485,0.238687,43.9848,0.100914,0.0648319,-0.237873,0.00237229,-0.311224,0,0.0513601,0,0.99868,0.0147,0,0.000166093
0.013986,4.73531,0.337687,44.1658,0.107267,0.0719978,-0.237844,0.00237229,-0.311224,0,0.0515604,0,0.99867,0.0147,0,0.000298758
0.015984,4.93493,0.498955,44.3975,0.111789,0.0833543,-0.237815,0.00237229,-0.311223,0,0.0517607,0,0.998659,0.0147,0,0.00119465
0.017982,4.98771,0.703968,43.955,0.112985,0.0965699,-0.237785,0.00237229,-0.31122,0,0.051961,0,0.998649,0.0147,0,0.00123814
0.01998,5.32642,0.678131,44.019,0.120657,0.110353,-0.237756,0.00237229,-0.311218,0,0.0521613,0,0.998639,0.0147,0,0.000990921
0.021978,5.45008,0.913415,43.7806,0.123459,0.112341,-0.237727,0.00237229,-0.311216,0,0.0523616,0,0.998628,0.0147,0,0.000400411
0.023976,5.47484,1.80561,43.1675,0.124019,0.130478,-0.237697,0.00237229,-0.311218,0,0.0525619,0,0.998618,0.0147,0,-0.00282955
0.025974,5.64024,2.17663,44.1362,0.127766,0.150818,-0.237668,0.00237229,-0.311226,0,0.0527623,0,0.998607,0.0147,0,-0.00379381
0.027972,6.05226,2.54052,45.2483,0.1371,0.155521,-0.237639,0.00237229,-0.311231,0,0.0529626,0,0.998597,0.0147,0,-0.00133847
0.02997,6.13345,2.38793,44.5139,0.138939,0.172812,-0.237609,0.00237229,-0.31123,0,0.0531629,0,0.998586,0.0147,0,0.0018612
0.031968,6.0493,2.30611,44.044,0.137033,0.190507,-0.23758,0.00237229,-0.311226,0,0.0533631,0,0.998575,0.0147,0,0.00139289
0.033966,6.15039,2.1459,44.244,0.139322,0.208465,-0.23755,0.00237229,-0.311225,0,0.0535634,0,0.998564,0.0147,0,0.000326278
0.035964,6.24769,2.05242,44.0544,0.141526,0.226575,-0.237521,0.00237229,-0.311224,0,0.0537637,0,0.998554,0.0147,0,0.000633559
0.037962,6.22404,2.14693,44.2474,0.140991,0.13691,-0.237492,0.00237229,-0.311222,0,0.053964,0,0.998543,0.0147,0,0.000877645
0.03996,6.71491,1.90527,44.1544,0.15211,0.163431,-0.237462,0.00237229,-0.311221,0,0.0541643,0,0.998532,0.0147,0,0.000901008
0.041958,6.32227,1.56417,44.2269,0.143216,0.11304,-0.237433,0.00237229,-0.311219,0,0.0543646,0,0.998521,0.0147,0,0.000728753
0.043956,6.01186,1.54283,44.1367,0.136184,0.0902495,-0.237404,0.00237229,-0.311218,0,0.0545649,0,0.99851,0.0147,0,0.000474323
