t,f_x,f_y,f_z,d_c,v_max,pos_x,pos_y,pos_z,oriq_x,oriq_y,oriq_z,oriq_w,vel_x,vel_y,vel_z
0,0.0779895,0.0973439,43.8743,0.00176667,0.162742,-0.242422,-0.000438776,-0.31214,0,0.0501581,0,0.998741,0.0173019,-0.000724171,-0.000140244
0.001998,-0.0639177,-0.177026,44.1578,-0.0014479,0.181472,-0.242388,-0.000438776,-0.312139,0,0.0503584,0,0.998731,0.017,0,0.00104412
0.003996,-0.403347,-0.205393,44.0778,-0.00913687,0.200136,-0.242354,-0.000438776,-0.312137,0,0.0505588,0,0.998721,0.017,0,0.000635815
0.005994,-0.760949,-0.276548,44.205,-0.0172375,0.15883,-0.24232,-0.000438776,-0.312137,0,0.0507591,0,0.998711,0.017,0,1.192e-05
0.007992,-1.12281,-0.121204,44.3358,-0.0254346,0.170345,-0.242286,-0.000438776,-0.312136,0,0.0509594,0,0.998701,0.017,0,0.000493406
0.00999,-1.34489,-0.0899728,44.1134,-0.0304654,0.191561,-0.242252,-0.000438776,-0.312135,0,0.0511598,0,0.998691,0.017,0,0.000944197
0.011988,-1.54759,-0.00733479,44.2693,-0.035057,0.200011,-0.242218,-0.000438776,-0.312133,0,0.0513601,0,0.99868,0.017,0,0.00105932
0.013986,-1.57267,-0.128049,43.9154,-0.0356252,0.220687,-0.242184,-0.000438776,-0.312131,0,0.0515604,0,0.99867,0.017,0,0.000732885
0.015984,-1.53578,-0.175276,44.2305,-0.0347895,0.240857,-0.24215,-0.000438776,-0.31213,0,0.0517607,0,0.998659,0.017,0,0.000446282
0.017982,-1.59973,-0.125843,43.9481,-0.036238,0.259632,-0.242116,-0.000438776,-0.312129,0,0.051961,0,0.998649,0.017,0,-8.12609e-06
0.01998,-1.56687,-0.115175,44.0649,-0.0354938,0.276349,-0.242082,-0.000438776,-0.31213,0,0.0521613,0,0.998639,0.017,0,-0.000380041
0.021978,-1.58132,-0.0779756,44.2343,-0.0358211,0.290656,-0.242048,-0.000438776,-0.312131,0,0.0523616,0,0.998628,0.017,0,-0.000539934
0.023976,-1.56471,-0.0601446,44.0574,-0.0354447,0.302578,-0.242014,-0.000438776,-0.312131,0,0.0525619,0,0.998618,0.017,0,0.000256287
0.025974,-1.45725,-0.194166,44.1574,-0.0330106,0.312571,-0.24198,-0.000438776,-0.31213,0,0.0527623,0,0.998607,0.017,0,0.000817181
0.027972,-1.59424,-0.24619,44.2117,-0.0361138,0.321503,-0.241946,-0.000438776,-0.312128,0,0.0529626,0,0.998597,0.017,0,0.00161396
0.02997,-1.7405,-0.256456,44.2461,-0.0394269,0.330592,-0.241912,-0.000438776,-0.312125,0,0.0531629,0,0.998586,0.017,0,0.0013955
0.031968,-1.81013,-0.231543,44.3196,-0.0410042,0.341222,-0.241878,-0.000438776,-0.312123,0,0.0533631,0,0.998575,0.017,0,9.77882e-05
0.033966,-1.67721,-0.296399,44.3374,-0.0379932,0.35534,-0.241844,-0.000438776,-0.312123,0,0.0535634,0,0.998564,0.017,0,-0.000232843
0.035964,-1.48483,-0.406987,44.1685,-0.0336352,0.38062,-0.24181,-0.000438776,-0.312123,0,0.0537637,0,0.998554,0.017,0,0.000399034
0.037962,-1.15794,-0.565821,44.2046,-0.0262304,0.40343,-0.241776,-0.000438776,-0.312123,0,0.053964,0,0.998543,0.017,0,0.000151531
0.03996,-0.851036,-0.507887,43.8513,-0.0192782,0.422943,-0.241742,-0.000438776,-0.312123,0,0.0541643,0,0.998532,0.017,0,-0.000900178
0.041958,-0.685693,-0.540945,44.1694,-0.0155327,0.443613,-0.241708,-0.000438776,-0.312126,0,0.0543646,0,0.998521,0.017,0,-0.0012295
0.043956,-0.560121,-0.286517,44.2906,-0.0126882,0.471199,-0.241674,-0.000438776,-0.312127,0,0.0545649,0,0.99851,0.017,0,0.000707479
0.045954,-0.565781,-0.37452,44.3568,-0.0128164,0.163116,-0.241641,-0.000438776,-0.312124,0,0.0547652,0,0.998499,0.017,0,0.00229592
0.047952,-0.717858,-0.410379,43.8493,-0.0162614,0.17282,-0.241607,-0.000438776,-0.312119,0,0.0549654,0,0.998488,0.017,0,0.00199835
0.04995,-1.08571,-0.438154,44.0386,-0.0245942,0.185582,-0.241573,-0.000438776,-0.312115,0,0.0551657,0,0.998477,0.017,0,0.00156609
0.051948,-1.45489,-0.501448,44.1703,-0.0329571,0.195773,-0.241539,-0.000438776,-0.312113,0,0.055366,0,0.998466,0.017,0,0.0012069
0.053946,-1.41681,-0.421897,44.2917,-0.0320944,0.207693,-0.241505,-0.000438776,-0.312111,0,0.0555663,0,0.998455,0.017,0,0.00155455
0.055944,-1.52825,-0.432172,44.2585,-0.0346189,0.219963,-0.241471,-0.000438776,-0.312107,0,0.0557665,0,0.998444,0.017,0,0.00235444
0.057942,-1.73201,-0.467885,44.1388,-0.0392345,0.238019,-0.241437,-0.000438776,-0.312102,0,0.0559668,0,0.998433,0.017,0,0.00234437
0.05994,-1.97299,-0.572777,43.8922,-0.0446935,0.256616,-0.241403,-0.000438776,-0.312098,0,0.056167,0,0.998421,0.017,0,0.00108091
0.061938,-2.19159,-0.480948,44.1203,-0.0496453,0.275332,-0.241369,-0.000438776,-0.312097,0,0.0563673,0,0.99841,0.017,0,0.000113558
0.063936,-2.40577,-0.190026,44.1685,-0.0544971,0.294125,-0.241335,-0.000438776,-0.312097,0,0.0565676,0,0.998399,0.017,0,-0.000885683
0.065934,-2.23281,0.00807414,44.3373,-0.0505791,0.312982,-0.241301,-0.000438776,-0.312099,0,0.0567678,0,0.998387,0.017,0,-0.000801609
0.067932,-1.9591,-0.0729846,44.2323,-0.0443789,0.331889,-0.241267,-0.000438776,-0.312098,0,0.0569681,0,0.998376,0.017,0,0.00185961
0.06993,-1.89732,-0.187658,44.2285,-0.0429792,0.350831,-0.241233,-0.000438776,-0.312093,0,0.0571683,0,0.998365,0.017,0,0.00318456
0.071928,-1.96361,-0.247828,44.1772,-0.0444809,0.207289,-0.241199,-0.000438776,-0.312087,0,0.0573686,0,0.998353,0.017,0,0.00251276
0.073926,-1.9211,-0.18214,44.1852,-0.043518,0.121629,-0.241165,-0.000438776,-0.312082,0,0.0575688,0,0.998342,0.017,0,0.00212534
0.075924,-1.8488,-0.192129,44.211,-0.0418802,0.127727,-0.241131,-0.000438776,-0.312078,0,0.057769,0,0.99833,0.017,0,0.00232088
0.077922,-1.79376,-0.194684,44.0883,-0.0406333,0.14111,-0.241097,-0.000438776,-0.312073,0,0.0579693,0,0.998318,0.017,0,0.00207467
0.07992,-1.93647,-0.169288,44.1429,-0.0438662,0.156098,-0.241063,-0.000438776,-0.31207,0,0.0581695,0,0.998307,0.017,0,0.00168268
0.081918,-2.00165,-0.239499,44.0485,-0.0453427,0.172214,-0.241029,-0.000438776,-0.312068,0,0.0583698,0,0.998295,0.017,0,0.000721438
0.083916,-2.03644,-0.335688,44.2486,-0.0461306,0.134034,-0.240995,-0.000438776,-0.312067,0,0.05857,0,0.998283,0.017,0,0.000721656
0.085914,-1.99658,-0.372926,44.3186,-0.0452277,0.131623,-0.240961,-0.000438776,-0.312064,0,0.0587702,0,0.998272,0.017,0,0.00146224
0.087912,-1.58262,-0.156999,42.9273,-0.0358505,0.149153,-0.240927,-0.000438776,-0.312062,0,0.0589704,0,0.99826,0.017,0,-0.00119911
0.08991,-1.50125,-0.0748275,44.0166,-0.0340073,0.126569,-0.240893,-0.000438776,-0.312067,0,0.0591707,0,0.998248,0.017,0,-0.00216602
0.091908,-1.3173,0.107968,44.6161,-0.0298402,0.146153,-0.240859,-0.000438776,-0.312073,0,0.0593709,0,0.998236,0.017,0,-0.00250348
0.093906,-0.957845,0.238483,44.3909,-0.0216977,0.134056,-0.240825,-0.000438776,-0.312073,0,0.0595711,0,0.998224,0.017,0,0.0012388
0.095904,-0.533892,0.355067,43.8903,-0.0120941,0.14806,-0.240791,-0.000438776,-0.31207,0,0.0597713,0,0.998212,0.017,0,0.00178356
0.097902,-0.64937,0.435867,44.1743,-0.0147099,0.123138,-0.240757,-0.000438776,-0.312069,0,0.0599715,0,0.9982,0.017,0,-0.00053424
0.0999,-1.44399,0.465454,44.6449,-0.0327101,0.13265,-0.240723,-0.000438776,-0.312072,0,0.0601717,0,0.998188,0.017,0,-0.00157767
0.101898,-1.18062,0.358721,44.3201,-0.0267441,0.143641,-0.24069,-0.000438776,-0.312072,0,0.060372,0,0.998176,0.017,0,0.00119817
0.103896,-1.08907,0.266164,44.0798,-0.0246702,0.15604,-0.240656,-0.000438776,-0.312068,0,0.0605722,0,0.998164,0.017,0,0.00280122
0.105894,-1.14738,0.100602,43.999,-0.0259911,0.130264,-0.240622,-0.000438776,-0.312064,0,0.0607724,0,0.998152,0.017,0,0.000458803
0.107892,-1.39483,0.253002,44.1577,-0.0315965,0.145467,-0.240588,-0.000438776,-0.312063,0,0.0609726,0,0.998139,0.017,0,0.00110339
0.10989,-1.47187,0.261077,44.3245,-0.0333418,0.161846,-0.240554,-0.000438776,-0.312059,0,0.0611728,0,0.998127,0.017,0,0.00290422
0.111888,-2.08873,0.19273,43.6357,-0.0473152,0.178919,-0.24052,-0.000438776,-0.312053,0,0.061373,0,0.998115,0.017,0,0.00133503
0.113886,-2.55015,0.162238,43.8115,-0.0577677,0.196592,-0.240486,-0.000438776,-0.312054,0,0.0615732,0,0.998103,0.017,0,-0.00184263
0.115884,-2.92676,0.261446,44.3597,-0.0662988,0.214065,-0.240452,-0.000438776,-0.312058,0,0.0617733,0,0.99809,0.017,0,-0.00134022
0.117882,-2.6538,0.330551,44.422,-0.0601156,0.199441,-0.240418,-0.000438776,-0.312059,0,0.0619735,0,0.998078,0.017,0,0.00088447
0.11988,-2.12322,0.252758,44.2439,-0.0480966,0.212697,-0.240384,-0.000438776,-0.312056,0,0.0621737,0,0.998065,0.017,0,0.00137392
0.121878,-1.72206,0.351716,43.0893,-0.0390092,0.276381,-0.24035,-0.000438776,-0.312056,0,0.0623739,0,0.998053,0.017,0,-0.00194527
0.123876,-1.73459,0.49007,44.7664,-0.039293,0.228025,-0.240316,-0.000438776,-0.312064,0,0.0625741,0,0.99804,0.017,0,-0.00311683
0.125874,-1.51498,0.412815,44.4448,-0.0343183,0.182398,-0.240282,-0.000438776,-0.312066,0,0.0627743,0,0.998028,0.017,0,0.000271283
0.127872,-1.49464,0.290411,44.3535,-0.0338576,0.16966,-0.240248,-0.000438776,-0.312063,0,0.0629746,0,0.998015,0.017,0,0.00319658
0.12987,-1.3739,0.211502,43.8306,-0.0311225,0.181457,-0.240214,-0.000438776,-0.312058,0,0.0631749,0,0.998003,0.017,0,0.00119106
0.131868,-1.36436,0.0331279,43.9005,-0.0309063,0.157597,-0.24018,-0.000438776,-0.312058,0,0.0633752,0,0.99799,0.017,0,-0.00125207
0.133866,-1.60884,-0.149101,44.0735,-0.0364445,0.172168,-0.240146,-0.000438776,-0.31206,0,0.0635755,0,0.997977,0.017,0,-0.000729771
0.135864,-1.96027,-0.164376,44.1391,-0.0444052,0.187462,-0.240112,-0.000438776,-0.312062,0,0.0637758,0,0.997964,0.017,0,-0.000805128
0.137862,-2.31598,-0.278351,44.0718,-0.052463,0.203373,-0.240078,-0.000438776,-0.312063,0,0.063976,0,0.997951,0.017,0,-0.000866747
0.13986,-2.4804,-0.256171,43.9936,-0.0561877,0.138955,-0.240044,-0.000438776,-0.312064,0,0.0641763,0,0.997939,0.017,0,-0.00043986
0.141858,-2.90564,-0.247296,44.4472,-0.0658205,0.145373,-0.24001,-0.000438776,-0.312065,0,0.0643765,0,0.997926,0.017,0,0.000314296
0.143856,-2.81432,-0.24064,43.9634,-0.0637517,0.149766,-0.239976,-0.000438776,-0.312063,0,0.0645768,0,0.997913,0.017,0,0.00118322
0.145854,-2.70194,-0.218092,44.0911,-0.0612059,0.15522,-0.239942,-0.000438776,-0.312061,0,0.0647771,0,0.9979,0.017,0,0.000849277
0.147852,-2.70665,-0.127293,44.315,-0.0613127,0.172194,-0.239908,-0.000438776,-0.312059,0,0.0649774,0,0.997887,0.017,0,0.00151522
0.14985,-2.54678,-0.0718098,44.0593,-0.0576914,0.191091,-0.239874,-0.000438776,-0.312054,0,0.0651776,0,0.997874,0.017,0,0.00277237
0.151848,-2.74072,-0.0814147,43.983,-0.0620845,0.210809,-0.23984,-0.000438776,-0.312049,0,0.0653778,0,0.997861,0.017,0,0.00270793
0.153846,-2.9828,-0.0800401,44.1238,-0.0675682,0.230682,-0.239806,-0.000438776,-0.312044,0,0.065578,0,0.997847,0.017,0,0.00195623
0.155844,-3.11657,-0.00318779,44.1009,-0.0705985,0.250123,-0.239772,-0.000438776,-0.312042,0,0.0657782,0,0.997834,0.017,0,0.000550989
0.157842,-2.76041,-0.0795867,44.2188,-0.0625304,0.263002,-0.239738,-0.000438776,-0.312041,0,0.0659783,0,0.997821,0.017,0,-9.68632e-05
0.15984,-2.39907,-0.0988719,44.1867,-0.0543452,0.278536,-0.239705,-0.000438776,-0.312041,0,0.0661785,0,0.997808,0.017,0,0.000650809
0.161838,-1.96094,-0.082135,44.0234,-0.0444204,0.293002,-0.239671,-0.000438776,-0.31204,0,0.0663787,0,0.997795,0.017,0,0.000541684
0.163836,-1.9085,-0.075744,44.1986,-0.0432326,0.194912,-0.239637,-0.000438776,-0.312038,0,0.0665789,0,0.997781,0.017,0,0.00131339
0.165834,-1.89172,-0.245564,44.1016,-0.0428525,0.194967,-0.239603,-0.000438776,-0.312035,0,0.0667791,0,0.997768,0.017,0,0.00120081
0.167832,-1.87793,-0.302752,44.2155,-0.0425401,0.197017,-0.239569,-0.000438776,-0.312033,0,0.0669793,0,0.997754,0.017,0,0.00135578
0.16983,-1.77611,-0.395321,44.1307,-0.0402335,0.156325,-0.239535,-0.000438776,-0.312031,0,0.0671795,0,0.997741,0.017,0,0.000592644
0.171828,-1.57346,-0.45622,44.2447,-0.035643,0.176161,-0.239501,-0.000438776,-0.312029,0,0.0673797,0,0.997727,0.017,0,0.00122966
0.173826,-1.71496,-0.409875,44.3045,-0.0388484,0.195596,-0.239467,-0.000438776,-0.312026,0,0.0675799,0,0.997714,0.017,0,0.0020584
0.175824,-1.80153,-0.417823,44.1023,-0.0408093,0.214404,-0.239433,-0.000438776,-0.312022,0,0.0677801,0,0.9977,0.017,0,0.00214528
0.177822,-2.15401,-0.390689,43.9916,-0.0487939,0.186186,-0.239399,-0.000438776,-0.312018,0,0.0679802,0,0.997687,0.017,0,0.00133618
0.17982,-2.49921,-0.325624,44.153,-0.0566137,0.192581,-0.239365,-0.000438776,-0.312016,0,0.0681804,0,0.997673,0.017,0,0.000850648
0.181818,-3.13734,-0.220124,44.3318,-0.071069,0.206631,-0.239331,-0.000438776,-0.312014,0,0.0683806,0,0.997659,0.017,0,0.001191
0.183816,-3.14526,-0.331596,44.0273,-0.0712484,0.133241,-0.239297,-0.000438776,-0.312012,0,0.0685808,0,0.997646,0.017,0,0.0013506
0.185814,-3.49563,-0.600175,43.8586,-0.0791851,0.128346,-0.239263,-0.000438776,-0.31201,0,0.068781,0,0.997632,0.017,0,-0.000562243
0.187812,-3.68582,-1.03228,43.7517,-0.0834935,0.126503,-0.239229,-0.000438776,-0.312015,0,0.0689811,0,0.997618,0.017,0,-0.00424516
0.18981,-3.70839,-1.20239,43.997,-0.0840048,0.134866,-0.239195,-0.000438776,-0.312025,0,0.0691812,0,0.997604,0.017,0,-0.00579969
0.191808,-3.66148,-0.930705,44.5447,-0.0829421,0.213783,-0.239161,-0.000438776,-0.312037,0,0.0693814,0,0.99759,0.017,0,-0.00608187
0.193806,-2.89679,-1.12941,44.6421,-0.0656198,0.140949,-0.239127,-0.000438776,-0.312046,0,0.0695816,0,0.997576,0.017,0,-0.0018279
0.195804,-2.96969,-0.843638,44.3353,-0.0672713,0.171756,-0.239093,-0.000438776,-0.312048,0,0.0697817,0,0.997562,0.017,0,-0.000627124
0.197802,-3.00429,-0.93375,43.8697,-0.068055,0.110897,-0.239059,-0.000438776,-0.312049,0,0.0699818,0,0.997548,0.017,0,-0.00135887
0.1998,-3.51299,-1.18845,44.4478,-0.0795784,0.124284,-0.239025,-0.000438776,-0.312053,0,0.0701819,0,0.997534,0.017,0,-0.00185379
0.201798,-3.24995,-1.3992,44.2512,-0.0736199,0.10321,-0.238991,-0.000438776,-0.312057,0,0.0703821,0,0.99752,0.017,0,-0.00245288
0.203796,-3.40144,-1.32114,44.4376,-0.0770515,0.113725,-0.238957,-0.000438776,-0.312058,0,0.0705822,0,0.997506,0.017,0,0.000838388
0.205794,-3.4473,-1.32752,44.2366,-0.0780904,0.12984,-0.238923,-0.000438776,-0.312056,0,0.0707823,0,0.997492,0.017,0,0.0016688
0.207792,-3.50717,-1.36044,43.8618,-0.0794465,0.112246,-0.238889,-0.000438776,-0.312053,0,0.0709824,0,0.997478,0.017,0,0.000436032
0.20979,-3.42443,-1.3216,44.2419,-0.0775724,0.128128,-0.238855,-0.000438776,-0.312053,0,0.0711825,0,0.997463,0.017,0,0.000133431
0.211788,-3.49514,-1.45392,44.4521,-0.0791741,0.112579,-0.238821,-0.000438776,-0.312052,0,0.0713826,0,0.997449,0.017,0,0.000789666
0.213786,-3.54829,-1.59447,44.4223,-0.0803781,0.107001,-0.238787,-0.000438776,-0.312049,0,0.0715827,0,0.997435,0.017,0,0.00195129
0.215784,-3.61749,-1.64459,43.9272,-0.0819456,0.12496,-0.238753,-0.000438776,-0.312045,0,0.0717828,0,0.99742,0.017,0,0.00170163
0.217782,-3.77409,-1.70591,44.2145,-0.0854929,0.143555,-0.23872,-0.000438776,-0.312042,0,0.0719829,0,0.997406,0.017,0,0.00184933
0.21978,-3.8282,-1.77981,44.2944,-0.0867188,0.162045,-0.238686,-0.000438776,-0.312038,0,0.072183,0,0.997391,0.017,0,0.00212608
0.221778,-3.9131,-1.69907,44.1567,-0.0886419,0.127516,-0.238652,-0.000438776,-0.312034,0,0.0723831,0,0.997377,0.017,0,0.00228385
0.223776,-4.02072,-1.60541,44.2558,-0.0910799,0.128729,-0.238618,-0.000438776,-0.312029,0,0.0725832,0,0.997362,0.017,0,0.00208382
0.225774,-4.30641,-1.37755,43.8518,-0.0975515,0.145468,-0.238584,-0.000438776,-0.312025,0,0.0727832,0,0.997348,0.017,0,0.00166187
0.227772,-4.60901,-1.42728,44.0134,-0.104406,0.157817,-0.23855,-0.000438776,-0.312023,0,0.0729833,0,0.997333,0.017,0,0.000870177
0.22977,-5.17223,-1.41387,43.9043,-0.117165,0.132149,-0.238516,-0.000438776,-0.312022,0,0.0731833,0,0.997319,0.017,0,0.000149195
0.231768,-5.43786,-1.53109,44.2157,-0.123182,0.146757,-0.238482,-0.000438776,-0.312022,0,0.0733834,0,0.997304,0.017,0,0.000171191
0.233766,-5.12771,-1.53272,44.0066,-0.116156,0.152254,-0.238448,-0.000438776,-0.312021,0,0.0735835,0,0.997289,0.017,0,5.92055e-05
0.235764,-4.85149,-1.24551,44.2191,-0.109899,0.169265,-0.238414,-0.000438776,-0.312021,0,0.0737835,0,0.997274,0.017,0,8.12032e-05
0.237762,-4.32074,-1.45109,43.7254,-0.0978762,0.313437,-0.23838,-0.000438776,-0.312022,0,0.0739836,0,0.997259,0.017,0,-0.00147287
0.23976,-2.2389,-1.89444,43.8271,-0.0507169,0.358736,-0.238346,-0.000438776,-0.312032,0,0.0741837,0,0.997245,0.017,0,-0.00701054
0.241758,-0.996345,-2.53532,43.6301,-0.0225698,0.196765,-0.238312,-0.000438776,-0.312048,0,0.0743837,0,0.99723,0.017,0,-0.00920675
0.243756,-0.814138,-2.64377,44.6847,-0.0184423,0.147071,-0.238278,-0.000438776,-0.312065,0,0.0745837,0,0.997215,0.017,0,-0.00648557
0.245754,-1.0082,-2.67318,44.7477,-0.0228383,0.132636,-0.238244,-0.000438776,-0.312072,0,0.0747838,0,0.9972,0.017,0,-0.000890039
0.247752,-1.30938,-2.85707,44.0249,-0.0296609,0.151601,-0.23821,-0.000438776,-0.312071,0,0.0749838,0,0.997185,0.017,0,0.00120517
0.24975,-1.47113,-2.73269,43.8232,-0.033325,0.17056,-0.238176,-0.000438776,-0.31207,0,0.0751838,0,0.99717,0.017,0,-0.000720686
0.251748,-1.83744,-2.73256,44.2113,-0.0416229,0.117325,-0.238142,-0.000438776,-0.312073,0,0.0753838,0,0.997155,0.017,0,-0.00164665
0.253746,-2.26292,-2.83557,44.4809,-0.0512611,0.136433,-0.238108,-0.000438776,-0.312075,0,0.0755839,0,0.99714,0.017,0,0.000594666
0.255744,-2.33322,-2.98044,44.036,-0.0528536,0.152812,-0.238074,-0.000438776,-0.312072,0,0.0757839,0,0.997124,0.017,0,0.00222465
0.257742,-2.44017,-2.87065,43.9105,-0.0552762,0.172376,-0.23804,-0.000438776,-0.312068,0,0.0759839,0,0.997109,0.017,0,0.000956266
